person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Ballard / William C. Jr.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Burke / Richard T.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Darretta / Robert J.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Hemsley / Stephen J.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Hooper / Michele J.	UnitedHealth Group			f-B		1	Corporation	non-financial	healthcare	21
Leatherdale / Douglas W.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Renwick / Glenn M.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Shine / Kenneth I.	UnitedHealth Group			m-W		1	Corporation	non-financial	healthcare	21
Wilensky / Gail R.	UnitedHealth Group			f-W		1	Corporation	non-financial	healthcare	21
Braly / Angela F.	Procter & Gamble			f-W		1	Corporation	non-financial	consumer products	22
Chenault / Kenneth I.	Procter & Gamble			m-B		1	Corporation	non-financial	consumer products	22
Cook / Scott D.	Procter & Gamble			m-W	104	1	Corporation	non-financial	consumer products	22
Gupta / Rajat K.	Procter & Gamble			m-A		1	Corporation	non-financial	consumer products	22
McDonald / Robert A.	Procter & Gamble			m-W		1	Corporation	non-financial	consumer products	22
McNerney / W. James Jr.	Procter & Gamble			m-W		1	Corporation	non-financial	consumer products	22
Rodgers / Johnathan A.	Procter & Gamble			m-B		1	Corporation	non-financial	consumer products	22
Whitman / Meg	Procter & Gamble			f-W	285	1	Corporation	non-financial	consumer products	22
Wilderotter / Mary Agnes	Procter & Gamble			f-W		1	Corporation	non-financial	consumer products	22
Woertz / Patricia A.	Procter & Gamble			f-W		1	Corporation	non-financial	consumer products	22
Zedillo / Ernesto	Procter & Gamble			m-L		1	Corporation	non-financial	consumer products	22
Anderson / Reuben V.	Kroger			m-B		1	Corporation	non-financial	retail	23
Beyer / Robert D.	Kroger			m-W		1	Corporation	non-financial	retail	23
Dillon / David B.	Kroger			m-W		1	Corporation	non-financial	retail	23
Kropf / Susan J.	Kroger			f-W		1	Corporation	non-financial	retail	23
Lamacchia / John T.	Kroger			m-W		1	Corporation	non-financial	retail	23
Lewis / David B.	Kroger			m-B		1	Corporation	non-financial	retail	23
McMullen / W. Rodney	Kroger			m-W		1	Corporation	non-financial	retail	23
Montoya / Jorge P.	Kroger			m-L		1	Corporation	non-financial	retail	23
Moore / Clyde R.	Kroger			m-W		1	Corporation	non-financial	retail	23
Phillips / Susan M.	Kroger			f-W		1	Corporation	non-financial	retail	23
Rogel / Steven R.	Kroger			m-W		1	Corporation	non-financial	retail	23
Runde / James A.	Kroger			m-W		1	Corporation	non-financial	retail	23
Sargent / Ronald L.	Kroger			m-W		1	Corporation	non-financial	retail	23
Shackouls / Bobby S.	Kroger			m-W		1	Corporation	non-financial	retail	23
Cotros / Charles H.	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
Gochnauer / Richard W.	AmerisourceBergen			m-W		1	Corporation	non-financial	pharmaceutical	24
