person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Anderson / Christine L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Craig B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Desaix	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Edward G. III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Gloria B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / John B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Lisa	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Mark A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Paul F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anderson / Wendy R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Andreas / Terry Lynn	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Andrews / David R.	Council on Foreign Relations			m-B		0	Policy-Planning Group	think tank		2
Andrews / Michael A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Angelson / Mark A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ansour / M. Michael	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Anthony / John Duke	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aossey / Nancy A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Apgar / David P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aponte / Mari Carmen	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Appiah / Kwame A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Applebaum / Anne E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aquila / Francis J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arbess / Daniel J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arcos / Cresencio S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arend / Anthony Clark	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Argov / Gideon	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arkin / Stanley S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Armacost / Michael H.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Armstrong / Charles Michael	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Armstrong / Lloyd Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arnhold / Henry H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aron / Adam M.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Arons / Melinda S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aronson / Bernard W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aronson / Jonathan David	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arsenian / Deana	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arsht / Adrienne	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Art / Robert J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Arthurs / Alberta	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Artigiani / Carole	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Asgard / Ramin	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Assousa / George E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Athreya / Bama	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Atkin / Rebecca	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Atkins / Betsy S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Atkinson / Caroline	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Atuahene / Bernadette	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Atwood / J. Brian	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Auer / James E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Auerbach / Michael B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Auerbach / Paul S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Aufhauser / David D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Auguste / Byron Gerald	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Augustine / Norman R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Auspitz / Josiah Lee	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ausubel / Jesse H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Avedon / John F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Avery / John E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Avni / Ronit	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Awuah / Patrick G. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Axelrod / Robert M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ayers / H. Brandt	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ayón / David R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ayres / Alyssa	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Ayyar / Balan Rama	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Azim / Khalid	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Azimi / Shad	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Babbitt / Bruce	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Babbitt / Eileen F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Babbitt / Harriet C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bacchus / James L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bacevich / Andrew J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bader / Christine	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bader / William B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baer / Donald A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bagley / Bruce M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bagley / Elizabeth Frawley	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bahar / Michael	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bailey / Jed	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bailey / Ronald Lewis	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bains / Leslie E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baird / Peter W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Amy	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Arnold B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Audrey H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Howard H. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / James A. III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / James H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / John R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Pauline H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Stewart A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baker / Thurbert E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bakhash / Shaul	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bakstansky / Peter	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Balaran / Paul	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baldwin / David A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baldwin / Sherman	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baldwin Moody / Carol	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bales / Carter F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Balick / Kenneth	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baliles / Gerald L.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Ballou-Aares / Daniella	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Balstad / Roberta	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Band / Laurence M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bandler / Donald K.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Banga / Ajaypal Singh	Council on Foreign Relations			m-A		0	Policy-Planning Group	think tank		2
Bansal / Preeta D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barany / Zoltan	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barber / Benjamin R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barbour / Haley	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barcott / Rye	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bardel / William G.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barger / Teresa C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barkan / Joel D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barkey / Henri J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barnes / Harry G. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barnes / Michael D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barnett / F. William	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barnett / Michael Nathan	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barnett / Robert B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barno / David William	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barrett / Barbara McConnell	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barrett / John Adams	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barron / Michael J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barry / Grace	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barry / John L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barry / Lisa B.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barry / Nancy M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barry / Thomas Corcoran	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Barshay / Jill J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Barshefsky / Charlene	Council on Foreign Relations			f-W		0	Policy-Planning Group	think tank		2
Bartholomew / Reginald	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartiromo / Maria S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartlett / Joseph W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartlett / Richard Allen	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartlett / Timothy J	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartley / Edith Lynn	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartolomei / Jason E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bartsch / David A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Basek / John T.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Basora / Adrian A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bass / Gary J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bass / Peter E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bass / Warren	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Batkin / Alan R.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Bator / Francis M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Battaglia / Charles C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Baxter / Randolph	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bayh / Evan	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bayrasli / Elmira	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bean / Frank D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bearg / Nancy J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beattie / Richard I.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Beatty / Warren	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Becker / Elizabeth H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beckler / David Z.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beckmann / David	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bedrosian / Gregory R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beehner / Lionel	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beeman / Richard E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Behringer / Michael P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beim / David O.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beim / Nicholas F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bekavac / Nancy Yavor	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Belfer / Robert A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Burwell B. III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Gordon P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Joseph C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Peter Dexter	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Robert G.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Ruth Greenspan	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Steve	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bell / Thomas D. Jr.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Bell-Rose / Stephanie K.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bellamy / Carol	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bellinger / John B. III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bellows / Ben	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bender / Gerald J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bender / Lawrence	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Benedict / Kennette M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Benioff / Marc Russell	Council on Foreign Relations				218	0	Policy-Planning Group	think tank		2
Bennet / Douglas J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bennett / Andrew Owen	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bennett / Christina A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bennett / Susan J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Benshoof / Janet	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Benson / Lucy Wilson	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bereuter / Douglas K.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bergen / Peter Lampert	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berger / Joshua Adam	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berger / Marilyn	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berger / Samuel R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berger / Suzanne	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berggruen / Nicolas	Council on Foreign Relations				206	0	Policy-Planning Group	think tank		2
Bergman / Lowell A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bergsten / C. Fred	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berkley / Seth F.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berkowitz / Bruce	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berkowitz / Elana	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berkowitz / Howard P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berman / Howard L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berman / Jonathan E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bernard / Kenneth W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berndt / John E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bernstein / David Scott	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bernstein / Peter W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bernstein / Robert L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bernstein / Tom A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berresford / Susan Vail	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Berris / Jan	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bersin / Alan D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bertini / Catherine Ann	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bertsch / Gary K.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bery / Priya	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beshar / Peter J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beshara / Adam	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bestani / Robert M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bestor / Theodore C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Betts / Richard K.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Beutner / Austin M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bewkes / Jeffrey L.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Beyzavi / Kian	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bhala / Raj	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bhargava / Anurima	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bhidé / Amar V.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bialkin / Kenneth J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bialos / Jeffrey P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bickford / Jewelle	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biddle / George C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biegun / Stephen Edward	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biel / Eric R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biemann / Betsy	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bienen / Henry S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bierley / John C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biersteker / Thomas J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Biggs / John H.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Biglari / Hamid	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Billingsley / Lucy C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bilmes / Linda J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bindenagel / James D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Binkley / Nicholas Burns	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Binnendijk / Hans	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Birdsall / Nancy	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Birkelund / John P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bissell / Richard E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Black / Cathleen P.	Council on Foreign Relations			f-W		0	Policy-Planning Group	think tank		2
Black / Leon D.	Council on Foreign Relations				113	0	Policy-Planning Group	think tank		2
Black / Shirley Temple	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Black / Stanley Warren	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blacker / Coit D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blackwell / Blair	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blackwell / J. Kenneth	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blackwill / Robert D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blake / Robert O.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blanc / Jarrett N.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blank / Jonah	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blank / Stephen	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blankfein / Lloyd C.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Blechman / Barry M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bleich / Jeffrey L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bleier / Edward	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Blendon / Robert Jay	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bleyer / Kevin	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blinderman / Eric H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blinken / Alan John	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blinken / Antony J.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blinken / Donald	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bloch / Julia Chang	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bloom / Evan T.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bloomberg / Michael R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bloomfield / Lincoln P.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bloomgarden / Kathy Finn	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blum / Richard C.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Blumenthal / Sidney S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blumenthal / W. Michael	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blumling / Mark	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blumrosen / Alexander Bernet	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Blyth / Mark M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bob / Daniel E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bobbitt / Philip Chase	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bodansky / Daniel M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bodea / Andy S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bodnar / Seth A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bogert / Carroll R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bohlen / Avis T.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bohn / John A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bolling / Landrum R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bollinger / Lee C.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Bolton / John R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bommer / Ashley Faye	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bond / Robert D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bondurant / Amy L.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bonime-Blanc / Andrea	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bonine / David	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bonner / Robert C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bonney / J. Dennis	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Booth / Carter	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bordoff / Jason Erik	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boren / David L.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Borgerson / Scott G.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bork / Ellen	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boschwitz / Rudy	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bosworth / Stephen W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Botts / John C.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boufford / Jo Ivey	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boughner / Devry S.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bouis / Antonina W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boulware-Miller / Kay	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boustany / Charles W. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bouton / Marshall M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bovin / Denis A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bower / Joseph Lyon	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Bower / Whitney	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bowles / Erskine B.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Boyd / Charles Graham	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Boyer / Spencer Phipps	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bracken / Paul	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bradbury / Darcy E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Braddock / Richard S.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Brademas / John	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bradford / Nichol Rae	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bradford / Zeb B. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bradley / Bill	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brady / Linda Parrish	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brady / Nicholas F.	Council on Foreign Relations			m-W		0	Policy-Planning Group	think tank		2
Brady / Rose	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brainard / Lael	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bramwell / Elizabeth R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Branch / Daniel H.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Branscomb / Lewis M.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Branson / Louise	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Braswell / Kimberly	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brauchli / Marcus W.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Braunschvig / David	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brautigam / Deborah A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brazeal / Aurelia E.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Breck / Henry R.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Breed / Henry Eltinge III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bremer / L. Paul III	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Bremmer / Ian A.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Breslauer / George William	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Brewer / John D.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Breyer / Stephen G.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
Briger / Peter L. Jr.	Council on Foreign Relations					0	Policy-Planning Group	think tank		2
